comment,instrument_name,instrument_code,bank_number,preset_number,id_number,formula
// ,12-String Guitar,twelve_string_guitar,8,25,0,"CONCAT(A2,""Instrument("""""", B2,"""""", """""",C2,"""""", "",D2,"", "",E2,"", "",F2,""),"")"
// ,5th Saw Wave Expressive,fifth_saw_wave_expr,17,86,1,
// ,5th Saw Wave,fifth_saw_wave,0,86,2,
// ,808 Tom,eight_hundred_eight_tom,8,118,3,
// ,Accordion Expressive,accordion_expr,17,21,4,
,Accordion,accordion,0,21,5,
,Acoustic Bass,acoustic_bass,0,32,6,
// ,Agogo,agogo,0,113,7,
// ,Alto Sax Expressive,alto_sax_expr,17,65,8,
,Alto Sax,alto_sax,0,65,9,
// ,Applause,applause,0,126,10,
// ,Atmosphere Expressive,atmosphere_expr,17,99,11,
// ,Atmosphere,atmosphere,0,99,12,
,Bagpipe,bagpipe,0,109,13,
// ,Bandoneon Expressive,bandoneon_expr,17,23,14,
// ,Bandoneon,bandoneon,0,23,15,
,Banjo,banjo,0,105,16,
// ,Baritone Sax Expressive,bariton_sax_expr,17,17,17,
,Baritone Sax,baritone_sax,0,67,18,
// ,Bass & Lead Expressive,bass_lead_expr,17,87,19,
// ,Bass & Lead,bass_and_lead,0,87,20,
// ,Basses Fast Expressive,basses_fast_expr,51,49,21,
// ,Basses Fast,basses_fast,50,48,22,
// ,Basses Pizzicato,basses_pizzicato,50,45,23,
// ,Basses Slow Expressive,basses_slow_expr,51,49,24,
// ,Basses Slow,basses_slow,50,49,25,
// ,Basses Trem Expressive,basses_trem_expr,51,44,26,
// ,Basses Tremolo,basses_tremolo,50,44,27,
// ,Bassoon Expressive,bassoon_expr,17,70,28,
,Bassoon,bassoon,0,70,29,
// ,Bird Tweet,bird_tweet,0,123,30,
// ,Bottle Chiff Expressive,bottle_chiff_expr,17,76,31,
// ,Bottle Chiff,bottle_chiff,0,76,32,
// ,Bowed Glass Expressive,bowed_glass_expr,17,92,33,
// ,Bowed Glass,bowed_glass,0,92,34,
// ,Brass 2 Expressive,brass_2_expr,18,61,35,
// ,Brass 2,brass_2,8,61,36,
// ,Brass Section Expressive,brass_section_expr,17,61,37,
// ,Brass Section,brass_section,0,61,38,
// ,Breath Noise,breath_noise,0,121,39,
// ,Bright Grand Piano,bright_grand_piano,0,1,40,
// ,Brightness,brightness,0,100,41,
// ,Brush 1,brush_1,128,41,42,
// ,Brush 2,brush_2,128,42,43,
// ,Brush,brush,128,40,44,
// ,Calliope Expressive,calliope_expr,17,82,45,
// ,Calliope Lead,calliope_lead,0,82,46,
,Castanets,castanets,8,115,47,
// ,Celesta,celesta,0,8,48,
// ,Celli Fast Expressive,celli_fast_expr,41,48,49,
// ,Celli Fast,celli_fast,40,48,50,
// ,Celli Pizzicato,celli_pizzicato,40,45,51,
// ,Celli Slow Expressive,celli_slow_expr,41,49,52,
// ,Celli Slow,celli_slow,40,49,53,
// ,Celli Trem Expressive,celli_trem_expr,41,44,54,
// ,Celli Tremolo,celli_tremolo,40,44,55,
// ,Cello Expressive,cello_expr,17,42,56,
,Cello,cello,0,42,57,
// ,Charang Expressive,charang_expr,17,84,58,
// ,Charang,charang,0,84,59,
// ,Chiffer Lead Expressive,chiffer_expr,17,83,60,
// ,Chiffer Lead,chiffer_lead,0,83,61,
// ,Choir Aahs Expressive,choir_aahs_expr,17,52,62,
,Choir Aahs,choir_aahs,0,52,63,
,Church Bell,church_bell,8,14,64,
// ,Church Organ 2 Expressive,church_org_2_expr,18,19,65,
// ,Church Organ 2,church_organ_2,8,19,66,
// ,Church Organ Expressive,church_organ_expr,17,19,67,
,Church Organ,church_organ,0,19,68,
// ,Clarinet Expressive,clarinet_expr,17,71,69,
,Clarinet,clarinet,0,71,70,
// ,Clavinet,clavinet,0,7,71,
// ,Clean Guitar,clean_guitar,0,27,72,
// ,Concert Bass Drum,concert_bass_drum,8,116,73,
// ,Contrabass Expressive,contrabass_expr,17,43,74,
// ,Contrabass,contrabass,0,43,75,
// ,Coupled Harpsichord,coupled_harpischord,8,6,76,
// ,Crystal,crystal,0,98,77,
// ,Detuned FM EP,detuned_fm_ep,8,5,78,
// ,Detuned Org. 1 Expressive,detuned_org_1_expr,18,16,79,
// ,Detuned Org. 2 Expressive,detuned_org_2_expr,18,17,80,
// ,Detuned Organ 1,detuned_organ_1,8,16,81,
// ,Detuned Organ 2,detuned_organ_2,8,17,82,
// ,Detuned Saw Expressive,detuned_saw_expr,21,81,83,
// ,Detuned Saw,detuned_saw,20,81,84,
// ,Detuned Tine EP,detuned_tine_ep,8,4,85,
,Distortion Guitar,distortion_guitar,0,30,86,
// ,Drawback Organ Expressive,drawback_organ_expr,17,16,87,
// ,Drawbar Organ,drawbar_organ,0,16,88,
,Dulcimer,dulcimer,0,15,89,
// ,Echo Drops Expressive,echo_drops_expr,17,102,90,
// ,Echo Drops,echo_drops,0,102,91,
// ,Electric Grand Piano,electric_grand_piano,0,2,92,
// ,Electronic,electronic,128,24,93,
// ,English Horn Expressive,english_horn_expr,17,69,94,
// ,English Horn,english_horn,0,69,95,
// ,FM Electric Piano,fm_electric_piano,0,5,96,
// ,Fantasia,fantasia,0,88,97,
// ,Feedback Guitar,feedback_guitar,8,30,98,
// ,Fiddle Expressive,fiddle_expr,17,110,99,
// ,Fiddle,fiddle,0,110,100,
,Fingered Bass,fingered_bass,0,33,101,
// ,Flute Expressive,flute_expr,17,73,102,
,Flute,flute,0,73,103,
// ,French Horns Expressive,french_horns_expr,17,60,104,
,French Horns,french_horns,0,60,105,
// ,Fret Noise,fret_noise,0,120,106,
// ,Fretless Bass,fretless_bass,0,35,107,
// ,Funk Guitar,funk_guitar,8,28,108,
,Glockenspiel,glockenspiel,0,9,109,
// ,Goblin Expressive,goblin_expr,17,101,110,
// ,Goblin,goblin,0,101,111,
,Grand Piano,grand_piano,0,0,112,
// ,Guitar Feedback,guitar_feedback,8,31,113,
// ,Guitar Harmonics,guitar_harmonics,0,31,114,
// ,Halo Pad Expressive,halo_pad_expr,17,94,115,
// ,Halo Pad,halo_pad,0,94,116,
// ,Harmon Mute Trumpet,harmon_mute_trumpet,0,59,117,
// ,Harmonica Expressive,harmonica_expr,17,22,118,
,Harmonica,harmonica,0,22,119,
,Harp,harp,0,46,120,
,Harpsichord,harpsichord,0,6,121,
// ,Hawaiian Guitar,hawaiian_guitar,8,26,122,
// ,Helicopter,helicopter,0,125,123,
// ,Hmn. Mute Tpt. Expressive,hmn_mute_tpt_expr,17,59,124,
// ,Honky-Tonk Piano,honky_tonk_piano,0,3,125,
// ,Ice Rain,ice_rain,0,96,126,
// ,It. Accordion Expressive,it_accordion_expr,18,21,127,
// ,Italian Accordion,italian_accordion,8,21,128,
// ,Jazz 1,jazz_1,128,33,129,
// ,Jazz 2,jazz_2,128,34,130,
// ,Jazz 3,jazz_3,128,35,131,
// ,Jazz 4,jazz_4,128,36,132,
// ,Jazz Guitar,jazz_guitar,0,26,133,
// ,Jazz,jazz,128,32,134,
,Kalimba,kalimba,0,108,135,
// ,Koto,koto,0,107,136,
,Mandolin,mandolin,16,25,137,
,Marching Bass,marching_bass,128,59,138,
,Marching Cymbals,marching_cymbals,128,58,139,
,Marching Snare,marching_snare,128,56,140,
,Marching Tenor,marching_tenor,128,96,141,
,Grand Piano,marimba,0,12,142,
// ,Melo Tom 2,melo_tom_2,8,117,143,
,Melodic Tom,melodic_tom,0,117,144,
// ,Metal Pad Expressive,metal_pad_expr,17,93,145,
// ,Metal Pad,metal_pad,0,93,146,
,Music Box,music_box,0,10,147,
,Nylon String Guitar,nylon_string_guitar,0,24,148,
// ,Oboe Expressive,oboe_expr,17,68,149,
,Oboe,oboe,0,68,150,
// ,Ocarina Expressive,ocarina_expr,17,79,151,
,Ocarina,ocarina,0,79,152,
// ,OldMarching Tenor,old_marching_tenor,128,95,153,
// ,OldMarchingBass,old_marching_bass,128,57,154,
// ,Orchestra Hit,orchestra_hit,0,55,155,
// ,Orchestra Kit,orhcestra_kit,128,48,156,
// ,Orchestra Pad,orchestra_pad,8,48,157,
